app_id,metascore,user_score
2527390,83.0,54
953490,75.0,75
1954200,81.0,82
1076200,78.0,69
1794960,78.0,75
1716120,70.0,67
1268590,69.0,58
2356560,76.0,72
1436700,78.0,75
1262600,80.0,63
1446650,76.0,77
1386780,67.0,61
1755910,77.0,72
1668540,81.0,76
1556200,56.0,57
2637990,79.0,77
1771980,78.0,80
1582650,73.0,63
1136370,72.0,60
1668520,81.0,79
1272160,82.0,83
1340480,85.0,69
1170080,74.0,72
1552350,75.0,0
1233570,69.0,59
988910,83.0,70
1205520,86.0,77
1283410,81.0,76
750130,71.0,61
1567020,69.0,60
2071500,79.0,83
1194630,71.0,66
956030,82.0,80
1937780,74.0,59
1675830,86.0,81
738520,71.0,68
1939160,82.0,86
1356670,80.0,83
1967430,83.0,79
1395030,87.0,70
597820,66.0,60
2741560,77.0,84
895620,73.0,80
1578650,82.0,75
1812090,79.0,80
1140270,80.0,79
466630,81.0,74
2012510,74.0,48
1115690,75.0,75
1355090,79.0,80
1123050,81.0,75
1874000,73.0,45
1282150,70.0,77
2370170,81.0,75
2510710,80.0,76
1240210,87.0,79
1147550,82.0,81
2446550,58.0,31
2111190,88.0,82
2238900,86.0,82
1137300,69.0,69
2445990,76.0,73
1291340,63.0,63
690040,78.0,68
1570010,73.0,69
1354830,69.0,0
1840080,75.0,31
998740,74.0,71
1222370,62.0,61
1004750,79.0,59
1451810,73.0,59
2230650,83.0,70
1622910,74.0,75
1622900,65.0,46
1238880,73.0,54
1766740,56.0,68
1100410,60.0,24
2195410,81.0,79
2111170,72.0,71
1590760,78.0,65
1816300,73.0,77
1072500,69.0,62
1271100,56.0,55
924980,76.0,76
1335790,71.0,73
1540210,73.0,71
1998340,83.0,59
424370,60.0,56
1585220,77.0,85
1644940,77.0,83
1135300,63.0,51
1792250,70.0,78
1283400,72.0,79
1287840,73.0,47
824600,86.0,84
2305840,80.0,80
2878600,66.0,55
921800,73.0,68
1029210,82.0,64
2490990,75.0,82
751630,76.0,66
1266700,67.0,72
1328350,86.0,80
798490,78.0,69
553540,71.0,58
2085000,76.0,58
1432050,79.0,74
1133760,74.0,58
850320,78.0,69
1619520,87.0,0
651670,77.0,65
2379390,73.0,52
2223840,68.0,57
1392960,71.0,69
916840,81.0,84
2021210,72.0,73
2719200,82.0,0
1097200,76.0,66
1167750,73.0,63
958400,70.0,40
1938010,79.0,66
1977170,85.0,76
1898290,75.0,56
1999770,81.0,74
1956040,81.0,41
2366980,89.0,76
1419160,77.0,63
2481020,81.0,74
1522160,76.0,75
1610440,86.0,75
964800,84.0,77
1097130,82.0,61
1903620,82.0,74
1978590,79.0,74
914800,76.0,74
1138660,75.0,79
1634860,87.0,85
1574240,73.0,73
1920480,78.0,59
1196470,67.0,69
465200,76.0,74
594330,81.0,62
1286350,74.0,71
1203710,82.0,83
1289380,60.0,24
2243710,76.0,75
2386310,81.0,79
1038250,79.0,55
1037020,76.0,58
2102450,69.0,60
1449200,85.0,84
1082430,77.0,85
913740,77.0,68
2229560,82.0,61
1580520,75.0,79
1205450,74.0,73
768520,65.0,58
803330,70.0,77
1343240,69.0,64
1981570,76.0,0
1042490,75.0,71
1167450,69.0,81
731040,72.0,78
814000,73.0,70
960690,82.0,78
1876590,79.0,71
1368030,71.0,67
1368870,75.0,65
1082180,74.0,51
1462570,78.0,75
1496590,77.0,66
1271700,75.0,69
707030,31.0,41
1904860,68.0,71
2215260,79.0,73
1519090,71.0,68
2216830,74.0,70
1310410,63.0,71
1517970,72.0,76
